3.1196 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
11.7105 	WARNING 	User requested fullscreen with size [1536  864], but screen is actually [1920, 1080]. Using actual size
15.1870 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

15.1876 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([1, 1, 1]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001DCCCD2A250>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001DCD14A0760>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
15.1877 	EXP 	window1: mouseVisible = True
15.1878 	EXP 	window1: mouseVisible = False
15.1879 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
15.1879 	EXP 	window1: recordFrameIntervals = False
15.3562 	EXP 	window1: recordFrameIntervals = True
15.4771 	WARNING 	t of last frame was 21.70ms (=1/46)
15.5066 	WARNING 	t of last frame was 21.33ms (=1/46)
15.5769 	WARNING 	t of last frame was 21.74ms (=1/45)
15.6058 	WARNING 	t of last frame was 20.37ms (=1/49)
15.6771 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
17.0551 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

