2.9727 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
21.8350 	WARNING 	User requested fullscreen with size [1536  864], but screen is actually [1920, 1080]. Using actual size
25.3426 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

25.3431 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([1, 1, 1]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000015F7ECBA220>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000015F037DF700>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
25.3435 	EXP 	window1: mouseVisible = True
25.3438 	EXP 	window1: mouseVisible = False
25.3438 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
25.3438 	EXP 	window1: recordFrameIntervals = False
25.5281 	EXP 	window1: recordFrameIntervals = True
25.5802 	WARNING 	t of last frame was 22.45ms (=1/44)
25.6095 	WARNING 	t of last frame was 20.42ms (=1/48)
25.6798 	WARNING 	t of last frame was 21.89ms (=1/45)
25.7727 	WARNING 	t of last frame was 31.62ms (=1/31)
25.8102 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
27.2580 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

31.1997 	EXP 	Created image_introduction = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='images/introduction_text_image.png', interpolate=True, mask=None, maskParams=None, name='image_introduction', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1., 1.]), texRes=128.0, units='height', win=Window(...))
